id,pixel_x,pixel_y,area,valid,x,y,z
0,288.653846,99.038462,208,1,1.592108,11.082853,16.131415
1,340.060000,102.340000,200,1,-2.782490,10.650841,16.335731
2,242.091837,116.785714,196,1,5.637924,9.728802,16.078404
3,386.396552,124.086207,232,1,-6.651659,8.630412,16.453775
4,203.833333,150.766667,180,1,9.002331,6.917107,15.955986
5,420.106557,161.811475,244,1,-9.383426,5.306317,16.573756
6,325.104651,166.779070,172,1,-1.299062,5.769525,19.893704
7,276.208333,173.916667,192,1,3.329563,5.258556,19.757601
8,182.878378,196.013514,148,1,10.925507,3.100180,15.951492
9,365.329268,197.036585,164,1,-4.969124,2.778778,19.985571
10,439.776596,209.904255,188,1,-10.828675,1.151904,16.460541
11,246.350000,214.900000,160,1,6.262129,1.481425,19.660202
12,310.184211,230.921053,152,1,0.367776,-0.220856,21.093905
13,373.051724,247.327586,116,1,-5.505381,-1.957909,19.923626
14,180.500000,247.500000,184,1,11.258102,-1.300886,15.978619
15,436.989796,260.581633,196,1,-10.426015,-3.102574,16.472929
16,253.812500,264.500000,128,1,5.686915,-3.200550,19.617102
17,344.222222,287.722222,144,1,-2.684016,-5.619316,19.756066
18,294.100000,295.166667,120,1,1.998384,-6.167339,19.637463
19,197.950980,295.833333,204,1,9.875271,-5.465346,16.030903
20,416.555556,309.111111,144,1,-8.523588,-7.079517,16.258601
21,232.990566,334.047170,212,1,6.974706,-8.785698,16.108165
22,378.766667,344.366667,180,1,-5.266825,-9.900757,16.111655
23,278.681818,359.636364,176,1,3.123530,-10.952556,15.914388
24,329.318182,360.636364,176,1,-1.106627,-11.169778,16.100566
